thumbnail,source,title,link,original,is_product,time
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd83e62fe904237e676d0a50a1f711911fa.jpeg,bitterliebe.com,Enzian - BitterLiebe,https://bitterliebe.com/pages/enzian,https://cdn.shopify.com/s/files/1/0248/6583/3023/files/20200902_Enzian1.jpg?v=1599467094,False,"25/10/2021, 14:34:12"
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd89b5b77948b2bc633137812c6a5ed6322.jpeg,gartenjournal.net,Enzian ∗ Die 10 besten Pflege- und Pflanztipps,https://www.gartenjournal.net/enzian,https://img.gartenjournal.net/wp-content/uploads/Enzian.jpg,False,"25/10/2021, 14:34:13"
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd86eab66d0e68c967481e47fa5d4fd59d0.jpeg,karwendel.org,Enzianarten und Enzian Beobachtung - Naturpark Karwendel Tirol ⛰️,https://www.karwendel.org/enzianbeobachtung/,https://www.karwendel.org/wp-content/uploads/clusius-enzian-1400x700.jpg,False,"25/10/2021, 14:34:13"
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd87c65a872ae427dda969750f2084ce692.jpeg,de.wikipedia.org,Enziane – Wikipedia,https://de.wikipedia.org/wiki/Enziane,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/GentianaAndrewsii.jpg/220px-GentianaAndrewsii.jpg,False,"25/10/2021, 14:34:14"
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd88235983bd4b65109129576bc682978e3.jpeg,chemie-schule.de,Enziane – Chemie-Schule,https://www.chemie-schule.de/KnowHow/Enziane,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Clusius_Enzian02.jpg/300px-Clusius_Enzian02.jpg,False,"25/10/2021, 14:34:14"
https://serpapi.com/searches/6176a439dc02f16af3ab3f59/images/c63babc85202d1c268dafe9f054e7cd89f2a3f404c0d1e1031ee3d25f9622e7f.jpeg,heimhelden.de,"Enziane, Schönheiten für Garten und Apotheke - HeimHelden®",https://www.heimhelden.de/enziane-schoenheiten-fuer-garten-und-apotheke,https://www.heimhelden.de/wp-content/uploads/2014/03/enziane.jpg,False,"25/10/2021, 14:34:14"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwi4BQvN_nb859A9wB_P0FWdWpNCJU0H3oKQ&usqp=CAU,oberstdorf-lexikon.de,Enzian,https://www.oberstdorf-lexikon.de/die-enziane.html,https://www.oberstdorf-lexikon.de/files/oberstdorf-lexikon/seine-natur/pflanzen/enzian/enzian-deutscher.jpg,False,"25/10/2021, 14:34:14"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx0c_v97PMxksSMqAaes0pHbLoAZTJeezf3Q&usqp=CAU,pharmawiki.ch,PharmaWiki - Enziane,https://www.pharmawiki.ch/wiki/index.php?wiki=Enziane,https://www.pharmawiki.ch/wiki/media/Enziane_2.jpg,False,"25/10/2021, 14:34:15"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpIIWm9cSt422_NE7Ml3h72kTbWjw8IWH6vA&usqp=CAU,wildfind.com,Kochscher Enzian | Gentiana acaulis,https://www.wildfind.com/pflanzen/kochscher-enzian,https://www.wildfind.com/sites/default/files/imagecache/Vollansicht/03_pflanzenbilder/kochscher-enzian/wildfind_kochscher-enzian_kochscherenzian.jpg,False,"25/10/2021, 14:34:15"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cbfu7wsYH9mG4tUvETP-bm7MwltFZZ6Vcg&usqp=CAU,mein-schoener-garten.de,Stengelloser Enzian pflanzen und pflegen - Mein schöner Garten,https://www.mein-schoener-garten.de/pflanzen/enzian/stengelloser-enzian,https://www.mein-schoener-garten.de/sites/default/files/styles/amp_metadata_anchor_navigation/public/stengelloser-enzian-aufmacher-626775018-istock.jpg?h=c029297a&itok=zFVwlzdq,False,"25/10/2021, 14:34:16"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKowlzKtSrdAY9ULvTVgFMFOynpvdioYB7UQ&usqp=CAU,pixabay.com,Enziane Blumen Gentiana Blaue - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/enziane-blumen-gentiana-3360029/,https://cdn.pixabay.com/photo/2018/04/29/13/55/gentians-3360029_960_720.jpg,False,"25/10/2021, 14:34:16"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJQlBkMC10y0-jJUHj-QNc4wgGk5L6fmVtiw&usqp=CAU,gartentraeume.com,Die Enziane,https://www.gartentraeume.com/Tipps-und-Inspiration/pflanze-des-monats-august-2017.html,https://www.gartentraeume.com/media/wysiwyg/Blog/content_imageslider_Gentiana-alpina_105617558.jpg,False,"25/10/2021, 14:34:16"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgfGyK-2jtzaJes58KEsm7iX--bCOp0ltSJg&usqp=CAU,allgaeu-erleben.com,Allgäu erleben - Alpenflora: Enziangewächse,https://allgaeu-erleben.com/enzian.php,https://allgaeu-erleben.com/img/zeichnungen/enzian-blau.jpg,False,"25/10/2021, 14:34:17"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtueiaSgNhGidRReZd-Ggd5Oh8IKrQYscNWw&usqp=CAU,istockphoto.com,Stengellose Enzian Stockfoto und mehr Bilder von Herbstenzian - iStock,https://www.istockphoto.com/de/foto/stengellose-enzian-gm991030038-268570639,https://media.istockphoto.com/photos/stemless-gentian-picture-id991030038,True,"25/10/2021, 14:34:18"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3dAII5OCzGUzziUfAP1Y0ZTCfEIK-j4E6Bw&usqp=CAU,mein-schoener-garten.de,Enzian: Pflanzung und Pflegetipps - Mein schöner Garten,https://www.mein-schoener-garten.de/pflanzen/enzian,https://www.mein-schoener-garten.de/sites/default/files/styles/square_m/public/lungenenzian-bluete-aufmacher-184382062-istock.jpg?h=c029297a&itok=HFSzyeBx,False,"25/10/2021, 14:34:19"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXG3JlfxMBUpjNqa5MSuYu_M2PB3qZIwEDAw&usqp=CAU,baumschule-horstmann.de,Großblumiger Frühlings-Enzian (Gentiana acaulis) - Info & Angebot,https://www.baumschule-horstmann.de/shop/exec/product/696/15327/Grossblumiger-Fruehlings-Enzian.html,https://www.baumschule-horstmann.de/bilder/popup/grossblumiger-fruehlings-enzian-m015327_h_0.jpg,False,"25/10/2021, 14:34:19"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqULOtPg9OQ7KKu4jhauKU4HUdbDAfe0cz_Q&usqp=CAU,daskranzbach.de,Die Enzian-Zeit ist angebrochen,https://www.daskranzbach.de/de/die-enzian-zeit-ist-angebrochen.html,https://www.daskranzbach.de/media/animation/img-3102.jpg,False,"25/10/2021, 14:34:20"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6SOL19yOj0DPZ_PEGvSyUifHZwF2ZMd-zHg&usqp=CAU,jurapark-aargau.ch,Enziane - Jurapark Aargau,https://jurapark-aargau.ch/enziane.html,https://jurapark-aargau.ch/files/jurapark/bilder/Projekte/Kreuzenzian.jpg,False,"25/10/2021, 14:34:21"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmNXTstmzwJOI7mnXec5K5iMizQw-tRgaaFQ&usqp=CAU,de.wikipedia.org,Enziane – Wikipedia,https://de.wikipedia.org/wiki/Enziane,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/KochscherEnzian.jpg/220px-KochscherEnzian.jpg,False,"25/10/2021, 14:34:21"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB7DnBOFrhzFBQYlajN927Zy2ZwH2Smlf1Xw&usqp=CAU,appenzellerlinks.ch,Feld-Enziane im Alpstein 🇨🇭 BILDER & FOTOS 🇨🇭 Appenzeller Fauna & Flora,https://www.appenzellerlinks.ch/Appenzellerland/Fotos/album/Appenzeller-Fauna-und-Flora/slides/Feld-Enziane%20im%20Alpstein.html,https://www.appenzellerlinks.ch/Appenzellerland/Fotos/album/Appenzeller-Fauna-und-Flora/slides/Feld-Enziane%20im%20Alpstein.JPG,False,"25/10/2021, 14:34:22"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbNqLnY80Mpu88L0hxphqe7D8Xd1q35hRFsg&usqp=CAU,imago-images.de,"12 06 2020 Patscherkofel, Tirol, Austria Bild Enzian, Enziane, Gentiana  Alpen Enzian *** 12",https://www.imago-images.de/st/0101671361,https://www.imago-images.de/bild/st/0101671361/w.jpg,True,"25/10/2021, 14:34:22"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3bjNvqDNJ0cfAyCYK_ZyoLUErb4Vxkk4Feg&usqp=CAU,riederalp.info,"Wer sucht, findet weisse Enziane – Riederalp.info",https://www.riederalp.info/wer-sucht-findet-weisse-enziane/,https://www.riederalp.info/wp-content/uploads/2018/07/Ried.Albino-Enzian-1.jpeg,False,"25/10/2021, 14:34:23"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ-RnX9VeSVGqKs52xo2D1IORKMWNjj9Zi8w&usqp=CAU,shop.schutzfilisur.ch,Enziane,https://shop.schutzfilisur.ch/271-enziane-,https://shop.schutzfilisur.ch/5653-home_default/gentiana-acaulis-stengelloser-enzian.jpg,False,"25/10/2021, 14:34:23"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1rdWF3BUd70nyzg0kJpLWcXcPjJHF6QUjiw&usqp=CAU,imago-images.de,Enzian Pflanze Fotos | IMAGO,https://www.imago-images.de/fotos-bilder/enzian-pflanze,https://www.imago-images.de/bild/st/0134798077/s.jpg,False,"25/10/2021, 14:34:23"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSByoAiYTwHI8dESoqN5gL589eXhTjEKi125g&usqp=CAU,pharmawiki.ch,PharmaWiki - Enziane,https://www.pharmawiki.ch/wiki/index.php?wiki=Enziane,https://www.pharmawiki.ch/wiki/media/Enziane_3.jpg,False,"25/10/2021, 14:34:24"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuIbTt-dQFFaVLi0z6atswsGXR30YG8jLY0g&usqp=CAU,oberstdorf-lexikon.de,Enzian,https://www.oberstdorf-lexikon.de/die-enziane.html,https://www.oberstdorf-lexikon.de/files/oberstdorf-lexikon/seine-natur/pflanzen/enzian/enzian-clusius.JPG,False,"25/10/2021, 14:34:24"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfufoOkHT9xlwocan_F0zgyx8xgbbojcHwyQ&usqp=CAU,riederalp.info,"Wer sucht, findet weisse Enziane – Riederalp.info",https://www.riederalp.info/wer-sucht-findet-weisse-enziane/,https://www.riederalp.info/wp-content/uploads/2018/07/Weiss-bl%C3%A4uliche.Einziane-382x440.png,False,"25/10/2021, 14:34:25"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg-UFoCT10pY2tyMF6nVwYBz96qiW2VWCGoQ&usqp=CAU,de.wikipedia.org,Schlauch-Enzian – Wikipedia,https://de.wikipedia.org/wiki/Schlauch-Enzian,https://upload.wikimedia.org/wikipedia/commons/6/6a/Schusternagel.jpg,False,"25/10/2021, 14:34:25"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrAauLJkq0WGYDewz8RRdpeXrc6FIM63fdoQ&usqp=CAU,bund-hoexter.de,Wildwachsende Enziane - BUND Höxter,https://www.bund-hoexter.de/tiere-und-pflanzen/pflanzen/enziane/,https://www.bund-hoexter.de/fileadmin/hoexter/pflanzen/enziane/kreuz_enzian_bstork_700.jpg,False,"25/10/2021, 14:34:27"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1mGSggCYfCE0ku9GnCVe9AzlD1OPQsfPIGQ&usqp=CAU,garten.ch,Enzian Herbstblüher im Garten auf der Terrassen und Balkon | garten.ch,https://www.garten.ch/enzian-herbstblueher-im-garten-auf-terrassen-und-balkon,https://www.garten.ch/sites/default/files/styles/detailbild-490/public/gartenthemen/02_gentiana-scabra_dsc03422.jpg?itok=VL1V9tMV,False,"25/10/2021, 14:34:27"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgpjcqPSNf40BOw8lIPEKJ4QIgDOZQcJzZVA&usqp=CAU,waldzeit.ch,Frühlings-Enzian (Gentiana verna) | Waldzeit,https://www.waldzeit.ch/pflanzen/fruehlings-enzian-gentiana-verna/,https://www.waldzeit.ch/wp-content/uploads/2021/05/20210428-_DSC6231-ILCE-7RM4-90-mm-600x400.jpg,False,"25/10/2021, 14:34:27"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0LfEanLIWgE3VrKLVLI9Ump0h6uH5fpZYhA&usqp=CAU,mdr.de,Enziane: Alpine Stauden pflanzen und richtig pflegen | MDR.DE,https://www.mdr.de/mdr-garten/pflanzen/enzian-alpine-stauden-gentiana-100.html,https://cdn.mdr.de/mdr-garten/garten-1052-resimage_v-variantBig24x9_w-1024.jpg?version=48501,False,"25/10/2021, 14:34:28"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1b2mv2vDSe77CXfRKcyyvNPDml9b9DShEaQ&usqp=CAU,pixabay.com,Enziane Blumen Enzian-Pflanze - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/enziane-blumen-enzian-pflanze-6374873/,https://cdn.pixabay.com/photo/2021/06/29/18/23/gentians-6374873_960_720.jpg,False,"25/10/2021, 14:34:28"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbyeabKXX8XWMu9F414UHKZ3BW_dfUxyzCaQ&usqp=CAU,garten.ch,Enzian Herbstblüher im Garten auf der Terrassen und Balkon | garten.ch,https://www.garten.ch/enzian-herbstblueher-im-garten-auf-terrassen-und-balkon,https://www.garten.ch/sites/default/files/styles/detailbild-490/public/gartenthemen/07_gentiana-asclepiadea_-dsc03766.jpg?itok=Yr78wuFR,False,"25/10/2021, 14:34:28"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNGCDlXPFXOhgLS2zGd5QQNdxSpAmFXZbRTw&usqp=CAU,imago-images.de,"12 06 2020 Patscherkofel, Tirol, Austria Bild Enzian, Enziane, Gentiana  Alpen Enzian *** 12",https://www.imago-images.de/st/0101671329,https://www.imago-images.de/bild/st/0101671329/w.jpg,True,"25/10/2021, 14:34:28"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHKjTU7m_mxjAeLgxsDbj5muqD7PUNrE_qHQ&usqp=CAU,pharmawiki.ch,PharmaWiki - Enziane,https://www.pharmawiki.ch/wiki/index.php?wiki=Enziane,https://www.pharmawiki.ch/wiki/media/Enziane_4.jpg,False,"25/10/2021, 14:34:29"
